scenario, sigma, T, run, loss, error
Ball,0.3,500,19,0.522393902432,0.0475
Ball,0.3,500,20,0.521755808946,0.045
Ball,0.3,500,21,0.52593823139,0.05
Ball,0.3,500,22,0.523221082802,0.0675
Ball,0.3,500,23,0.523022034734,0.05
Ball,0.3,500,24,0.523281318342,0.0525
Ball,0.3,500,25,0.523880122921,0.0525
Ball,0.3,500,26,0.52039744599,0.05
Ball,0.3,500,27,0.524623623232,0.0475
Ball,0.3,500,28,0.525465354313,0.0475
Ball,0.3,500,29,0.525790684641,0.065
Ball,0.3,1000,0,0.519578632997,0.055
Ball,0.3,1000,1,0.521341158308,0.045
Ball,0.3,1000,2,0.521896605763,0.05
Ball,0.3,1000,3,0.52455244061,0.0525
Ball,0.3,1000,4,0.519166998845,0.045
Ball,0.3,1000,5,0.522044727329,0.05
Ball,0.3,1000,6,0.5238886813,0.06
Ball,0.3,1000,7,0.522658872667,0.0525
Ball,0.3,1000,8,0.522695223939,0.05
Ball,0.3,1000,9,0.519686679662,0.0425
Ball,0.3,1000,10,0.523281216216,0.0525
Ball,0.3,1000,11,0.519696825916,0.0375
Ball,0.3,1000,12,0.522290008525,0.045
Ball,0.3,1000,13,0.523559073218,0.05
Ball,0.3,1000,14,0.521474888371,0.0475
Ball,0.3,1000,15,0.523017142237,0.0525
Ball,0.3,1000,16,0.519191011842,0.0475
Ball,0.3,1000,17,0.520748112335,0.05
Ball,0.3,1000,18,0.519821327327,0.0475
Ball,0.3,1000,19,0.521145546796,0.045
Ball,0.3,1000,20,0.521997771119,0.0475
Ball,0.3,1000,21,0.521706422182,0.0425
Ball,0.3,1000,22,0.519584996583,0.0475
Ball,0.3,1000,23,0.520648779054,0.0475
Ball,0.3,1000,24,0.521793696447,0.0525
Ball,0.3,1000,25,0.518718446595,0.05
Ball,0.3,1000,26,0.522461568119,0.055
Ball,0.3,1000,27,0.521714730728,0.045
Ball,0.3,1000,28,0.52318023914,0.05
Ball,0.3,1000,29,0.51950380128,0.05
